abpo,-19.018,47.229,1553.398,-0.0213,0.0434,0.0359,0.1289,4344,-0.0141,0.0428,0.034,0.1511,4344,-0.011,0.0362,0.0285,0.1288,4248,-0.0099,0.0377,0.0301,0.1404,4368,-0.0141,0.0402,0.0321,0.1511,17304
aira,31.824,130.6,315.056,-0.0349,0.0703,0.0544,0.1969,4272,-0.0313,0.072,0.0546,0.2384,4356,-0.0274,0.069,0.0514,0.2317,4260,-0.026,0.0644,0.0494,0.2123,4344,-0.0299,0.069,0.0524,0.2384,17232
albh,48.39,-123.487,32.176,0.0059,0.0344,0.0278,0.1089,4308,0.0042,0.034,0.0276,0.12,4356,0.0074,0.0367,0.0297,0.109,4320,0.0055,0.0357,0.0288,0.1182,4356,0.0057,0.0352,0.0285,0.12,17340
algo,45.956,-78.071,201.258,0.0115,0.0398,0.0321,0.1592,4056,0.0098,0.0404,0.0323,0.1409,3696,0.0023,0.0455,0.0346,0.1741,4320,0.0073,0.0403,0.0316,0.1761,4068,0.0076,0.0417,0.0327,0.1761,16140
areg,-16.465,-71.493,2489.742,-0.0055,0.0279,0.023,0.0792,4320,-0.0076,0.0316,0.0263,0.086,4368,-0.0029,0.027,0.0221,0.0901,4332,0.0086,0.0305,0.0246,0.0945,4368,-0.0018,0.0293,0.024,0.0945,17388
areq,-16.466,-71.493,2489.327,-0.0061,0.0281,0.0232,0.0899,4332,-0.0083,0.0316,0.0261,0.1076,4368,-0.0037,0.0272,0.0222,0.0938,4320,0.0077,0.0302,0.0244,0.0935,4344,-0.0026,0.0293,0.024,0.1076,17364
aruc,40.286,44.086,1222.58,-0.0019,0.0269,0.0216,0.1116,4332,-0.0056,0.0275,0.0221,0.0873,4344,-0.0026,0.028,0.0224,0.1073,4332,0.004,0.0279,0.0223,0.0927,3636,-0.0018,0.0276,0.0221,0.1116,16644
ascg,-7.916,-14.333,38.354,-0.0294,0.045,0.0357,0.1687,4332,-0.0259,0.042,0.0333,0.1554,4380,-0.0216,0.0364,0.03,0.1027,3924,-0.0205,0.0387,0.0297,0.1659,4368,-0.0244,0.0408,0.0322,0.1687,17004
auck,-36.603,174.834,133.092,-0.0184,0.0401,0.0307,0.1807,4320,-0.0215,0.0457,0.034,0.1768,4380,-0.0253,0.0519,0.038,0.1979,4320,-0.0304,0.0543,0.0389,0.2191,4356,-0.0239,0.0483,0.0354,0.2191,17376
badg,51.77,102.235,811.838,0.0088,0.0256,0.0204,0.0941,3936,0.0075,0.0239,0.0187,0.1062,4176,0.0108,0.0244,0.0194,0.089,4104,0.0122,0.0241,0.019,0.0795,4140,0.0098,0.0245,0.0194,0.1062,16356
baie,49.187,-68.263,27.911,0.013,0.0386,0.0312,0.1294,4320,0.0054,0.0457,0.0358,0.1653,4380,0.0041,0.0443,0.034,0.171,4236,0.0028,0.0419,0.0329,0.1612,4200,0.0064,0.0427,0.0335,0.171,17136
bake,64.318,-96.002,4.854,0.0172,0.0293,0.0243,0.1015,4320,0.0201,0.0324,0.0269,0.103,4344,0.0162,0.0331,0.0268,0.1115,4332,0.0171,0.0309,0.0262,0.0862,4344,0.0177,0.0315,0.0261,0.1115,17340
bako,-6.491,106.849,158.562,-0.007,0.04,0.032,0.1466,4296,-0.0504,0.0635,0.0547,0.1631,4224,-0.0483,0.0634,0.0535,0.1771,4224,-0.0528,0.0671,0.0565,0.176,4008,-0.0393,0.0593,0.049,0.1771,16752
bamf,48.835,-125.135,11.071,0.023,0.0435,0.0359,0.1253,4308,0.0014,0.0374,0.0301,0.1262,4380,0.0002,0.0381,0.03,0.1414,4308,-0.0004,0.0386,0.0306,0.1288,4356,0.006,0.0395,0.0316,0.1414,17352
bik0,42.854,74.533,745.287,0.0283,0.041,0.0339,0.1352,4332,0.0302,0.0429,0.0359,0.1417,4368,0.0331,0.0444,0.0371,0.1299,4272,0.0244,0.0395,0.0315,0.1361,4344,0.029,0.042,0.0346,0.1417,17316
bill,33.578,-117.065,470.478,-0.0089,0.0407,0.0314,0.1496,4332,-0.0036,0.0351,0.0277,0.1275,4344,-0.013,0.0398,0.03,0.1834,4332,-0.0176,0.0458,0.0344,0.1945,4368,-0.0108,0.0405,0.0309,0.1945,17376
bogi,52.475,21.035,140.355,-0.0118,0.0381,0.0305,0.148,3756,-0.0126,0.0362,0.0284,0.1418,4344,-0.0062,0.0345,0.0263,0.142,4296,-0.0095,0.037,0.0291,0.1208,4272,-0.01,0.0364,0.0285,0.148,16668
bogt,4.64,-74.081,2577.179,-0.0271,0.0329,0.0287,0.1297,4260,-0.0239,0.0331,0.0283,0.0928,4332,-0.0279,0.0338,0.0297,0.1277,4308,-0.0265,0.0333,0.0289,0.0992,4332,-0.0263,0.0333,0.0289,0.1297,17232
bor1,52.277,17.073,125.335,-0.0119,0.0372,0.0288,0.1279,4272,-0.0154,0.0376,0.0294,0.1499,4368,-0.01,0.0354,0.0269,0.1433,4332,-0.0119,0.0384,0.0295,0.1377,4344,-0.0123,0.0372,0.0287,0.1499,17316
braz,-15.947,-47.878,1106.445,-0.0086,0.0387,0.0312,0.1394,4272,-0.0057,0.0456,0.0379,0.1155,4356,-0.0061,0.0394,0.0321,0.1134,4236,0.0015,0.0394,0.0322,0.1378,4140,-0.0048,0.0409,0.0334,0.1394,17004
brew,48.132,-119.683,239.058,0.0078,0.0314,0.0257,0.0977,4332,0.0112,0.0311,0.0254,0.1019,4332,0.0128,0.0347,0.0279,0.1872,4332,0.0083,0.0344,0.0279,0.1165,4332,0.01,0.0329,0.0267,0.1872,17328
brst,48.38,-4.497,65.952,-0.0163,0.0421,0.0325,0.1636,4296,-0.0221,0.0474,0.0373,0.1629,4356,-0.0191,0.0392,0.0306,0.1817,4332,-0.0233,0.0431,0.0339,0.137,4164,-0.0202,0.0431,0.0336,0.1817,17148
brux,50.798,4.359,158.694,-0.0089,0.0361,0.0286,0.1282,4356,-0.0135,0.0412,0.0324,0.1439,4332,-0.0126,0.0361,0.028,0.1548,4320,-0.0158,0.0382,0.0302,0.1298,4344,-0.0127,0.038,0.0298,0.1548,17352
bshm,32.779,35.02,225.516,-0.0148,0.0332,0.0256,0.222,4260,-0.0208,0.0339,0.0271,0.1376,4344,-0.0147,0.0309,0.0242,0.127,4260,-0.0164,0.0323,0.025,0.1294,4224,-0.0167,0.0326,0.0255,0.222,17088
